,index,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,TITULARIDAD,AREA_TERRITORIAL,URL_CENTRO
2248,Madrid-Capital,28066417,CPR ES,COLEGIO SAN FRANCISCO,"Calle De La Fortaleza, 2 ",Madrid,Fuencarral-El Pardo,28048,913761599,913761935,Privado Concertado,Madrid-Capital,http://www.colegiosanfrancisco.es
2249,Madrid-Capital,28008703,CPR ES,EL PORVENIR,"Calle De Bravo Murillo, 85 ",Madrid,Chamberí,28003,915331337,915345492,Privado Concertado,Madrid-Capital,http://www.elporvenir.es
2250,Madrid-Capital,28007619,CPR ES,JESUS MARIA,"Calle De Los Hermanos García Noblejas, 68 ",Madrid,Ciudad Lineal,28037,913671660,913679204,Privado Concertado,Madrid-Capital,http://www.jesusmariagarcianoblejas.org
2251,Madrid-Capital,28027941,CPR ES,MARIA INMACULADA,"Calle De Fuencarral, 97 ",Madrid,Centro,28004,914489508,914939981,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.minmaculada.madrid
2252,Madrid-Capital,28019300,CPR ES,MARIA INMACULADA,"Calle De Ríos Rosas, 35 ",Madrid,Chamberí,28003,914410628,913990637,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.minmaculada-riosrosas.madrid
2253,Madrid-Capital,28076344,CPR ES,NORTE JOVEN FUENCARRAL,"Calle De Ribadavia, 20 ",Madrid,Fuencarral-El Pardo,28029,917342398,917568851,Privado Concertado,Madrid-Capital,http://www.nortejoven.org
2254,Madrid-Capital,28013140,CPR ES,NUESTRA SEÑORA DE GRACIA,"Paseo De Gigantes Y Cabezudos, 12-14 ",Madrid,Villaverde,28041,913173225,913182886,Privado Concertado,Madrid-Capital,http://www.educa.madrid.org/cc.nsgracia.madrid
2255,Madrid-Capital,28006019,CPR ES,PADRE PIQUER,"Calle Del Cañaveral, 96 ",Madrid,Tetuán,28029,913153947,913231744,Privado Concertado,Madrid-Capital,http://www.padrepiquer.es
2256,Madrid-Capital,28022505,CPR ES,PRIMERO DE MAYO,"Calle De Los Barros, 11 ",Madrid,Puente de Vallecas,28053,917858955,91 7853571,Privado Concertado,Madrid-Capital,http://www.fundacionjosemariadellanos.es
2257,Madrid-Capital,28020028,CPR ES,SANTA BARBARA,"Plaza De La Paja, 4 ",Madrid,Centro,28005,913652340,913669961,Privado Concertado,Madrid-Capital,https://www.centrosantabarbara.es/
